# Separated Correlation Matrices for Cyber Risk Model (Unique NAICS Codes),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
## 1. Correlation Matrix: Between Events,,,,,,,,,,,,,,,,,,,,,,,,
"# Captures dependencies between cyber events based on shared attack vectors, vulnerabilities, and NAICS code overlap.",,,,,,,,,,,,,,,,,,,,,,,,
"# Events: PHV.01 (Phishing-Enabled Breach), RN.01 (Ransomware), SC.01 (Supply Chain Compromise), CP.01 (Cyber-Physical Disruption), QC.01 (Quantum Computing Crypto Break), AI.01 (AI-Driven Deepfake Fraud), BE.01 (Data Breach).",,,,,,,,,,,,,,,,,,,,,,,,
"# Format: (Lower Bound, Upper Bound)",,,,,,,,,,,,,,,,,,,,,,,,
, Event   ,PHV.01,RN.01,SC.01,CP.01,QC.01,AI.01,BE.01,,,,,,,,,,,,,,,,
,---------,------------,------------,------------,------------,------------,------------,------------,,,,,,,,,,,,,,,,
,PHV.01,"(1.0, 1.0)","(0.4, 0.6)","(0.2, 0.3)","(0.2, 0.3)","(0.1, 0.2)","(0.3, 0.5)","(0.4, 0.6)",,,,,,,,,,,,,,,,
,RN.01,"(0.4, 0.6)","(1.0, 1.0)","(0.3, 0.4)","(0.3, 0.4)","(0.1, 0.2)","(0.2, 0.3)","(0.3, 0.5)",,,,,,,,,,,,,,,,
,SC.01,"(0.2, 0.3)","(0.3, 0.4)","(1.0, 1.0)","(0.4, 0.6)","(0.2, 0.3)","(0.2, 0.3)","(0.2, 0.3)",,,,,,,,,,,,,,,,
,CP.01,"(0.2, 0.3)","(0.3, 0.4)","(0.4, 0.6)","(1.0, 1.0)","(0.2, 0.3)","(0.2, 0.3)","(0.2, 0.3)",,,,,,,,,,,,,,,,
,QC.01,"(0.1, 0.2)","(0.1, 0.2)","(0.2, 0.3)","(0.2, 0.3)","(1.0, 1.0)","(0.1, 0.2)","(0.1, 0.2)",,,,,,,,,,,,,,,,
,AI.01,"(0.3, 0.5)","(0.2, 0.3)","(0.2, 0.3)","(0.2, 0.3)","(0.1, 0.2)","(1.0, 1.0)","(0.2, 0.3)",,,,,,,,,,,,,,,,
,BE.01,"(0.4, 0.6)","(0.3, 0.5)","(0.2, 0.3)","(0.2, 0.3)","(0.1, 0.2)","(0.2, 0.3)","(1.0, 1.0)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
## 2. Correlation Matrix: Between Services for the Same Event,,,,,,,,,,,,,,,,,,,,,,,,
